资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值,上年度违规,上年度违规次数
0.719595,0.453771,0.698232,1.161508,1.054167,-0.072392,21.13,-0.019,-0.090684,0.512158,0.931698,0.144429,2.583,1,9
0.587759,0.519151,0.664008,1.547129,1.655988,-0.059946,44.48,0.011629,0.20487,2.51823,3.469487,3.801785,2.439,1,2
0.535887,0.243529,0.631284,1.790651,19.583624,0.074221,31.32,-0.03213,0.071369,0.512782,0.848091,1.532725,0.133,0,0
0.294751,0.245648,0.376377,7.121625,1.005314,-0.934289,9.76,1.198271,0.344644,0.653215,1.004452,5.891012,2.711,1,3
0.357496,0.044453,0.372947,2.381633,0.998789,-0.299854,18.06,0.036359,0.249826,0.541676,0.798856,3.21767,0.073,0,0
0.814169,0.493296,0.826592,0.713091,4.384848,0.134594,31.32,-0.009236,-0.076785,0.311255,3.326634,-0.420312,0.015,0,0
0.43325,0.037082,0.429073,1.52839,1.011455,-0.114595,11.42,0.150699,0.045603,0.3938,0.585764,1.661918,2.575,1,2
0.348454,0.2181,0.472667,2.872237,1.035452,-0.202967,23.78,0.296111,0.384597,0.787803,1.965379,3.977006,2.464,1,2
0.306327,0.007157,0.255772,7.696325,6.38934,-1.367928,31.32,0.103166,0.236519,0.454361,0.618661,8.076454,0.227,0,0
0.249763,0.143793,0.240346,0.462853,1.077822,0.754068,28.25,0.433502,0.413606,0.384632,0.592779,5.009871,0.053,0,0
0.366435,0.061185,0.330598,2.036524,17.370369,-0.135532,31.32,0.059505,0.150885,0.333108,0.452846,2.582956,3.333,1,1
0.338809,0.406546,0.720413,4.192867,12.821338,-0.357297,11.24,-0.040684,-0.038325,1.047571,1.568042,5.069866,0.003,0,0
0.583444,0.260581,0.57268,2.045002,1.026259,0.046587,37.48,0.017078,0.103394,0.57612,0.854453,1.662163,0.009,0,0
0.490326,0.257047,0.573318,2.664499,1.054167,-0.002832,29.66,-0.218685,0.157086,0.589856,0.851707,2.184461,2.453,1,3
0.564894,0.364258,0.567095,3.281013,1.777702,0.034057,31.32,0.027577,-0.050622,0.564398,1.195253,1.492105,3.021,1,2
0.227015,0.13694,0.262897,2.873825,1.057473,-0.475228,31.32,-0.191243,-0.096524,0.576479,1.034033,5.046499,2.411,1,2
0.474706,0.349518,0.484457,2.504243,1.054167,-0.563942,43.68,0.026749,0.240887,0.888461,2.829396,3.147703,2.616,1,1
0.6042,0.134577,0.675771,1.760921,0.910728,0.021888,31.32,-0.071016,0.059362,1.110072,1.325168,2.107145,0.249,0,0
0.897298,0.481359,0.889709,3.245415,1.054167,0.021183,31.32,-0.381136,-0.598428,0.854915,1.73987,-0.127397,3.103,1,7
0.851505,0.365889,0.778119,0.668859,1.054167,-0.054993,31.32,-0.117384,0.013875,0.082731,0.150467,-0.387669,2.812,1,10
0.428746,0.022715,0.267845,8.2405,0.808041,-0.080202,21,-4.171524,-0.96074,0.600342,0.748977,8.016615,0.071,0,0
0.632581,0.340301,0.687162,1.362239,1.054167,-0.185906,31.32,-0.137623,-0.044941,0.158549,0.208329,0.318239,2.465,1,2
0.671465,0.508281,0.65506,2.598729,1.338324,-0.219132,31.32,-0.151506,-0.064312,0.490427,1.286779,0.924022,2.637,1,7
0.309726,0.17385,0.293073,2.49765,1.193295,-0.151059,24.34,0.01988,0.12419,0.886246,1.594076,4.146694,0.222,0,0
0.310399,0.014231,0.268157,1.828504,0.940941,-0.235092,31.32,-0.087322,0.115197,0.368522,0.46579,2.79134,2.388,1,3
0.759247,0.586041,0.759029,2.013107,1.054167,0.037455,31.32,-0.962856,-0.672845,0.203824,1.036592,-1.41806,2.56,1,3
0.336498,0.128453,0.276582,2.466258,1.034883,0.149743,31.32,0.720895,0.452399,0.177651,0.803743,3.514051,2.43,1,1
0.503907,0.083015,0.485688,1.682881,1.054167,-0.050856,31.32,0.023469,0.051804,0.425555,0.55117,1.517346,2.428,1,1
0.137402,0.053317,0.186648,7.906154,0.999179,0.015859,34.39,0.159272,0.222895,0.517168,0.909786,15.679908,0.159,0,0
0.131457,0.165483,0.258512,3.331084,0.98335,0.009218,5.39,0.023725,-2.222868,0.630499,2.289603,6.906853,2.477,1,6
0.506696,0.373204,0.500805,0.920517,2.621935,0.021483,31.32,-0.248128,0.035864,0.383537,0.646651,1.380012,2.499,1,4
0.326795,0.645866,1.016263,2.616403,1.054167,-0.006158,31.32,-1.543341,-0.087015,0.072168,0.110566,1.8805,2.468,1,4
0.8023,0.711774,0.765684,8.933341,1.054167,-0.021418,31.32,-0.493806,-1.147998,0.245101,0.37164,0.346157,2.607,1,4
0.465262,0.119107,0.593434,2.125648,1.506296,-0.08405,28.18,-0.007022,-0.050102,1.359857,2.845753,3.255081,0,0,0
0.335208,0.308501,0.484891,1.257908,1.047857,0.689502,31.32,-0.09774,0.209415,0.308739,1.108008,1.566168,2.641,1,1
0.681316,0.489428,0.741607,3.752675,2.228471,-0.015463,31.32,0.010625,-0.394073,0.423388,0.69341,0.609098,2.717,1,1
0.594735,0.439076,0.660683,1.404971,1.268749,0.471482,31.32,0.046914,0.183722,1.317799,4.182503,2.034303,0.087,0,0
0.423406,0.274399,0.431401,1.859615,1.14094,-0.609393,31.32,0.029397,0.107433,0.711512,0.853729,3.197489,2.548,1,1
0.587612,0.239047,0.574972,1.71999,1.054167,-0.050189,31.32,-0.093242,-0.089556,0.733929,1.730386,0.925877,2.424,1,2
0.514234,0.320887,0.538985,1.814943,1.086975,-0.153885,31.32,0.084569,0.24656,1.027999,3.271303,2.19357,3.092,1,1
0.585315,0.314413,0.638659,2.03802,1.250515,0.02208,31.32,-0.012703,-0.054566,0.545452,1.334384,0.73643,2.914,1,7
0.486416,0.006265,0.349559,10.379436,1.054167,0.016756,31.32,-1.249692,-2.998828,0.379934,0.433544,6.505301,0.101,0,0
0.420268,0.291403,0.388341,3.508287,1.251461,-0.004113,31.32,0.050292,0.368796,0.513479,0.926773,3.246654,2.687,1,2
0.500382,0.275564,0.509634,1.529,2.874761,0.042566,10.06,-0.008515,-0.33864,0.4822,1.053225,0.986537,2.818,1,2
0.457454,0.302346,0.463798,1.271849,1.093278,0.203115,19.64,0.021699,0.325262,0.586861,1.025355,2.260687,0.102,0,0
0.762721,0.309968,0.790741,1.362698,1.054167,-0.040045,31.32,-0.1918,-0.038425,0.228037,0.391495,0.162502,2.494,1,4
0.078504,0.009597,0.116168,2.116619,1.001074,26.173714,31.32,2.957504,0.76987,1.210979,1.994347,14.178367,2.577,1,3
0.432073,0.271204,0.415495,1.320563,1.054167,0.016479,31.32,-0.419853,-0.01386,0.110452,0.20152,0.73079,2.369,1,7
0.408707,0.350139,0.510018,3.756678,1.110202,-0.169759,14.46,0.167499,0.20654,0.450347,1.131558,2.585678,2.388,1,1
0.235414,0.071735,0.348725,1.847261,0.994307,-0.054532,31.32,-0.225008,0.014051,0.345991,0.612898,6.017398,2.88,1,2
0.429537,0.035019,0.381506,1.368009,0.825899,-0.140766,12.9,0.060842,0.2558,0.544071,0.943812,2.346569,0.088,0,0
0.382689,0.202868,0.386462,7.137097,1.009822,-1.156022,20.01,1.040691,0.367288,0.528329,1.308342,4.407664,2.496,1,1
0.77431,0.419397,0.744518,2.234877,1.054167,0.183604,31.32,-0.060619,-0.152197,0.740007,1.612758,0.461595,2.736,1,2
0.35395,0.049181,0.383608,0.962982,1.091157,0.129396,24.68,0.038956,0.347743,0.848402,1.265601,2.722294,2.553,1,3
0.517885,0.419096,0.583482,1.236297,1.346364,-0.199496,20.49,0.090305,0.172763,0.523274,1.584929,1.372408,2.499,1,2
0.603561,0.228156,0.605545,1.652027,1.284422,0.464277,20,0.100137,0.082489,0.499221,0.750869,1.260491,2.558,1,2
