资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,上年度违规,上年度违规次数,风险值
0.802016,0.38805,0.849019,2.621953,1.220161,-0.13061,29.48,-0.102861,-0.157179,1.190737,1.55067,2.406666,0,0,0.137
0.708479,0.560039,0.741455,2.124713,1.690266,0.2408,57.93,0.15787,0.033885,0.411405,1.559475,0.989953,1,1,2.413
0.920367,0.060269,0.330274,1.78633,0.82606,0.067227,18.84,-0.09249,-0.730503,0.654447,0.829672,-0.527432,1,2,2.604
0.818267,0.386843,0.725033,0.828153,3.36885,0.280376,19.99,-0.021885,-0.033033,0.813552,1.845186,-0.28152,0,0,0.028
0.685562,0.468184,0.678356,2.866706,2.102797,-0.334226,8.99,0.0186,0.114087,0.81406,1.496726,2.782596,1,1,2.439
0.600585,0.287844,0.741907,4.644364,1.072982,-0.120957,30.83,0.110188,0.264877,1.679549,2.921771,4.129726,0,0,0.081
0.916834,0.087345,0.693459,4.840612,1.052371,-0.007268,16.5,-0.395836,-3.369184,0.286667,0.725341,-3.94533,1,1,2.51
0.472861,0.15506,0.473273,2.311505,1.167705,-0.30503,19.07,0.058049,0.234823,0.516552,0.602303,2.716243,1,3,2.44
0.521623,0.284498,0.551948,1.623462,1.075846,0.007543,34.05,0.070503,0.149985,1.116523,2.193666,2.884393,0,0,0.08
0.55577,0.352247,0.637646,4.221856,2.748942,-0.417598,26.47,0.025305,0.081669,0.237452,0.409648,1.996529,1,4,2.509
0.374521,0.085496,0.393807,3.655308,1.01426,0.027592,26.64,0.136769,0.304453,1.200892,2.211401,3.754128,1,2,2.361
1.364559,0.801113,1.290423,254.452533,1.052371,-0.005039,16.51,0.133115,-2.432656,0.27661,0.685515,-3.60875,1,9,3.011
0.241246,0.239454,0.320894,1.076474,2.061863,0.055793,49.89,0.203606,-0.080127,0.15344,0.622331,2.731309,0,0,0.075
0.559779,0.408554,0.569472,2.388008,1.117087,-0.039495,45.97,0.149133,0.335875,0.748679,2.844019,2.089622,0,0,0.139
0.509348,0.499642,0.598479,1.039965,1.181683,0.750567,18.72,0.068033,0.244983,0.666621,1.418729,1.932019,1,5,2.402
0.557458,0.463354,0.671681,2.239445,1.097969,0.083363,33.37,0.08596,0.237344,0.758792,1.614675,2.067732,1,5,2.526
0.841023,0.36487,0.590939,0.953306,1.052371,0.004296,13.22,-0.614244,-0.911802,0.146574,0.336485,-1.941347,1,7,2.637
0.593047,0.440275,0.606781,0.72849,2.039868,0.329245,27.3,0.032754,0.202207,0.501911,0.747767,1.325045,0,0,0.009
0.492996,0.327432,0.54916,2.217184,1.052371,-0.10662,18.05,-1.617164,-0.239694,0.125142,0.291513,1.808473,1,9,2.767
0.464195,0.221911,0.478819,0.850851,2.072943,-1.877032,21.41,-0.13288,0.142635,0.690085,0.938997,2.140674,1,2,2.544
0.280991,0.028654,0.26485,3.657426,0.568012,-0.048876,45.77,0.124138,0.204124,0.288782,0.322757,6.808169,1,2,2.491
0.620505,0.265258,0.81033,1.335882,0.859895,-0.046646,11.66,0.009524,-0.113556,1.445803,3.728552,2.09586,1,4,2.732
0.549505,0.306437,0.522882,2.584935,1.352694,0.105126,23.02,-0.073732,-0.224416,1.586526,2.284415,2.879206,1,1,2.406
0.199665,0.130527,0.319984,5.286233,1.000704,0.128677,50.27,0.280282,0.207702,0.811886,1.519057,12.862431,1,4,2.296
0.869999,1.195082,1.524813,5.710445,1.005853,-0.02783,19.13,0.495282,-2.021093,0.328728,0.870894,-2.052546,1,2,2.787
0.74396,0.564342,0.678076,1.080748,1.052371,-0.029498,16.43,-1.003382,-0.006419,0.022921,0.029046,0.405953,1,4,2.742
0.772568,0.416289,0.733019,1.549333,1.672947,0.063178,20.73,0.299925,-0.124767,0.20281,0.571826,-0.308733,1,1,2.853
0.3984,0.195404,0.393008,1.593406,0.99156,-0.077151,9.44,0.352111,0.190854,1.021968,2.300572,2.435377,1,2,2.356
0.390968,0.107219,0.490938,3.341694,2.652053,0.023993,26.03,-0.519757,-0.286118,1.053586,2.121011,9.032831,1,3,2.515
0.950533,0.786174,1.045331,2.666597,1.637845,0.024971,62.05,-1.560958,-0.476825,0.202371,0.426046,0.027078,1,2,2.544
0.34847,0.155633,0.430836,5.151062,1.125983,-0.362425,25.86,0.056666,0.009776,0.536048,0.949283,4.80551,1,1,2.419
0.155444,0.014231,0.180008,3.755229,0.126875,-0.145294,54.54,0.018948,0.237473,0.306075,0.499303,10.327973,0,0,0.081
0.556256,0.36498,0.621192,0.945017,1.908625,0.00164,10.59,0.018315,0.001857,0.877861,1.441274,1.676138,1,2,2.455
0.592037,0.425273,0.721181,6.775192,1.247357,-0.059102,26.03,1.236402,-0.277577,0.684824,1.273203,2.266211,1,1,2.525
0.42172,0.248905,0.683747,3.651968,8.509739,0.178196,23.62,-0.111536,-0.146439,0.60912,1.779073,3.678017,1,1,2.878
0.859784,0.422276,0.614928,3.790521,1.052371,0.350393,10.49,-0.382964,-0.925253,0.345196,0.795508,0.500796,1,7,2.502
0.26091,0.257151,0.409671,2.069397,1.009812,0.527667,10.65,-0.043183,0.484364,0.46158,1.325986,6.084116,1,3,2.33
0.473035,2.388566,2.68773,2.666597,1.125559,-0.029833,19.21,-4.478863,-2.600322,0.379243,1.101439,5.760842,1,1,2.724
0.818827,1.133916,3.040496,2.666597,1.048186,0.007047,20.51,-2.791771,-6.801351,0.943479,1.013006,-4.006377,0,0,0.234
0.413466,0.312012,0.429172,0.575839,2.146483,-1.365739,22.47,0.004172,0.169165,0.143478,0.543847,0.792476,1,4,2.757
0.52686,0.144285,0.486374,2.144094,0.619141,0.09976,8.01,-0.408832,-0.223599,0.590863,0.968649,2.390928,1,2,2.555
0.152172,0.067888,0.149256,3.849834,0.964335,0.057653,11.27,0.057098,0.06635,0.711862,1.173668,20.950287,1,6,2.535
0.901547,0.598918,0.884769,8.450629,1.052371,-0.125644,23.18,-0.174384,-0.398338,0.167687,0.337739,-0.339871,0,0,0.193
0.694843,0.341696,0.707331,1.705858,1.194904,-0.952102,18.28,0.063136,0.144127,0.423682,1.054965,1.251819,1,1,2.012
0.634994,0.369517,0.669238,1.702721,1.399249,-0.440626,33.85,0.02101,0.196325,1.972349,3.00003,3.349043,1,1,2.493
0.738781,0.430042,0.771411,1.960438,22.337979,-0.626876,30.21,0.030082,0.058076,0.286923,1.140413,0.525711,0,0,0.129
0.543867,0.329649,0.697253,13.823226,4.938241,0.083247,30,-0.043897,-1.245685,0.558786,1.033001,3.327885,0,0,0.316
0.897493,0.074578,0.40481,3.142173,1.052371,-0.18339,29.07,-0.558834,-2.719477,1.070511,1.384444,-2.708217,1,1,2.557
0.641603,0.436874,0.714572,1.153647,2.403986,-0.021914,21.13,-0.194724,0.046308,0.553834,0.869277,1.19281,1,3,2.616
0.181759,0.105382,0.217703,2.301559,1.195536,0.032587,14.95,-1.564744,-0.486561,0.261287,0.337408,6.646459,1,1,2.537
0.59956,0.500416,0.660162,1.763875,1.577951,0.080925,44.48,0.011968,0.186398,2.131827,2.982469,3.316387,1,3,2.382
0.298286,0.210945,0.324511,4.592787,1.080181,-0.276562,10.28,0.090532,0.11953,0.402687,0.91305,12.534686,1,2,2.41
0.339301,0.045882,0.406971,3.096603,1.000758,-0.086806,10.09,0.204059,-3.060326,1.117839,1.919077,0.553165,1,2,2.558
0.04892,0.001491,0.013889,1.956668,0.968982,0.030244,26.2,0.87384,0.214528,0.157425,0.623919,16.151798,1,2,2.321
0.435911,0.050462,0.452768,1.497339,0.988157,-0.08809,11.42,0.491473,-0.011587,0.467788,0.744076,2.082852,1,7,2.52
0.430762,0.267278,0.466181,3.100879,1.056875,-0.259126,25.81,0.209871,0.332299,0.63469,1.387849,4.204858,0,0,0.083
0.25242,0.184487,0.333131,2.753675,1.026967,-0.184394,11.85,0.038753,-0.082705,0.459034,0.769102,4.729148,1,3,2.354
0.860546,0.341352,0.777453,4.920059,1.254372,0.155001,41.65,-0.118041,-0.384545,0.517062,1.008209,0.276639,0,0,0.071
0.462554,0.318302,0.599427,2.023738,1.054187,0.492506,28.88,0.097179,0.267653,1.158306,3.074489,4.236381,0,0,0.078
0.601203,0.109189,0.4763,1.605807,2.95195,-0.69443,25.01,0.029696,0.182376,1.117908,1.423784,2.634375,0,0,0.102
0.334612,0.069223,0.291452,1.936317,0.997668,0.123581,13.07,0.083142,0.18045,0.437785,0.606763,3.293799,1,8,2.53
