本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,1,0.563353,0.040051,0.538124,2.071901,0.977241,0.31458,53.03,0.009541,0.210825,1.370205,2.592335,2.269002,3.773
1,1,0.550798,0.188232,0.536383,2.895176,1.633882,-0.085441,47.61,0.004414,0.201941,0.701163,0.791132,2.402126,3.801
0,0,0.242163,0.030184,0.185612,1.777394,0.894346,-0.254566,15.9,0.422135,0.153867,0.114532,0.174455,2.575825,4.429
1,3,0.868883,0.492687,1.28699,36.258466,44.881514,-0.19034,23.51,0.209451,-0.050702,0.373278,0.639778,1.10634,5.166
1,7,0.439746,0.207682,0.371453,4.172219,1.148064,-0.02853,47.06,0.005802,-0.328499,0.306702,0.443603,0.825486,5.004
1,4,0.108104,0.003529,0.127825,1.701712,0.991919,0.174255,30.2,0.56518,0.645647,0.555729,0.691576,12.172667,4.352
0,0,0.333628,0.137192,0.29545,4.283415,1.122253,0.213356,20.86,0.04726,-0.199876,0.338224,0.640645,1.666414,3.544
0,0,0.41607,0.132514,0.497524,3.357682,1.021256,-0.072324,28.74,0.143574,0.227381,0.906133,2.833198,3.729928,3.304
1,11,0.991432,0.393617,0.65034,1.615244,1.148064,-1.273559,54.83,-0.019586,-0.049932,0.007533,0.007687,-0.585879,3.373
1,1,0.440728,0.155465,0.489873,2.379255,1.329166,-0.166258,24.14,0.1163,0.122463,0.427561,0.743831,1.771008,4.769
0,0,0.315478,0.116772,0.321199,1.679874,16.106327,-0.039862,30.31,0.047392,0.239334,0.909708,1.497811,3.294223,1.382
0,0,0.608335,0.320528,0.662065,1.932949,1.402849,-1.504564,16.56,0.194033,0.129704,0.276571,0.962928,0.781702,1.01
1,4,0.317657,0.221999,0.381744,1.524225,1.072215,-0.432385,31.31,0.068436,0.168813,0.793181,1.617078,2.225927,3.574
1,10,0.940514,1.494184,1.810921,5.15033,5.902501,-0.078826,21,0.492265,0.1786995,0.088829,0.607964,-1.788954,5.448
1,2,0.474902,0.432203,0.579825,4.113722,2.00303,-0.133348,36.44,0.092236,0.149048,0.22595,1.135549,1.680949,3.93
1,2,0.552113,0.281261,0.587531,1.788348,10.13592,-1.620615,12.81,0.026648,0.062344,1.060018,1.456092,1.992273,2.564
1,1,0.246997,0.172095,0.299962,1.892867,4.064778,-0.242963,27.74,0.029992,0.111597,0.585071,1.426476,3.622623,3.15
0,0,0.572612,0.509401,0.599839,0.668409,3.128908,-0.215541,20.64,0.102044,0.121886,0.125212,0.143921,1.228383,2.569
1,2,0.246021,0.115366,0.281215,2.818515,1.007396,-0.012311,50.4,0.367231,0.636674,0.392007,1.025037,5.167496,2.934
1,1,0.420505,0.397859,0.449032,1.12449,6.532642,-0.073549,25.39,0.014586,0.024676,0.090963,0.221112,0.988918,3.931
1,1,0.39077,0.292243,0.391833,1.084689,1.139539,-0.025815,27.92,0.299576,0.188352,0.254901,2.961321,1.123633,2.572
1,1,0.912945,0.524405,0.945088,3.072783,2.995606,-1.468995,21.34,0.094072,0.046088,0.225941,0.251685,0.509631,4.117
1,10,0.081502,0,0.237591,1.195863,7.933242,-0.010193,22.1,-0.539779,-0.216099,0.099676,0.669014,2.906424,3.287
0,0,0.613195,0.373804,0.671324,3.102505,3.635665,0.850627,45.33,0.038,0.079731,0.474301,0.665863,1.498611,4.053
0,0,0.351712,0.068791,0.44731,3.144835,1.146343,-0.509478,45.89,0.136375,0.5099,1.046642,1.614452,3.917755,4.812
1,1,0.423726,0.110726,0.412667,2.920716,2.140426,-0.154012,29.77,0.035788,0.126297,0.707333,1.18179,2.516821,4.335
1,1,0.523258,0.418968,0.565766,1.117584,2.862909,-0.462141,16.66,-0.022934,0.100714,0.451709,1.159529,1.263075,3.249
1,1,0.433173,0.03914,0.454192,2.545918,0.988894,0.109355,26.36,0.11683,0.045482,0.602476,0.752257,2.871059,4.727
0,0,0.32462,0.277675,0.374705,2.221671,1.668093,-0.305077,23.75,0.141675,0.121935,0.401505,0.954401,1.328104,4.22
0,0,0.705877,0.034085,0.643873,1.478294,1.083376,0.115432,32.33,0.07953,0.107395,0.537434,0.619287,1.205477,2.83
0,0,0.463328,0.239132,0.53203,3.037819,1.666311,-0.043313,27.78,0.063751,-0.201828,0.502748,0.806006,2.489038,2.433
0,0,0.856874,0.629651,0.949086,2.384641,4.449362,0.150107,24.21,0.030732,0.039609,0.352259,1.009826,0.148065,3.905
